,iteration,epoch,avg_disc_loss,avg_ae_loss,avg_recon_loss,timeT,timeV
292,9,22,-0.1389,7536.9046,15545.1029,4.7158,0.6247
293,9,23,-0.1766,7538.8744,15543.7487,4.7324,0.5993
294,9,24,-0.1838,7535.9829,15544.3414,4.7145,0.6112
295,9,25,-0.1511,7537.2264,15544.322,4.7252,0.6033
296,9,26,-0.1762,7538.7914,15543.2398,4.7368,0.6
297,9,27,-0.1856,7536.0572,15544.2905,4.7425,0.6068
298,9,28,-0.1534,7538.1014,15543.8715,4.7633,0.6064
299,9,29,-0.1756,7534.5128,15543.2764,4.7656,0.6376
300,10,0,-0.1864,7535.5136,15547.9674,4.7704,0.6011
301,10,1,-0.2025,7536.6437,15549.6872,4.7724,0.5991
302,10,2,-0.1762,7535.1356,15549.1123,4.7668,0.6021
303,10,3,-0.1442,7535.7284,15548.3648,4.776,0.6005
304,10,4,-0.201,7535.0236,15548.4459,4.7674,0.6042
305,10,5,-0.1655,7536.4618,15549.1123,4.7724,0.6237
306,10,6,-0.1783,7535.5532,15549.563,4.7573,0.5988
307,10,7,-0.1746,7538.418,15547.7331,4.7643,0.6101
308,10,8,-0.1964,7536.1407,15547.7721,4.7591,0.6019
309,10,9,-0.1852,7538.7466,15547.9414,4.7714,0.5996
310,10,10,-0.1855,7538.1156,15548.6922,4.7639,0.6021
311,10,11,-0.158,7537.8268,15548.6695,4.7713,0.5954
312,10,12,-0.1818,7534.8241,15548.2943,4.7689,0.6023
313,10,13,-0.2072,7533.631,15548.7658,4.7565,0.6037
314,10,14,-0.1613,7537.5204,15548.4829,4.7623,0.5947
315,10,15,-0.1449,7539.2103,15548.2988,4.7529,0.5999
316,10,16,-0.2068,7537.2165,15549.4951,4.7442,0.6008
317,10,17,-0.1487,7536.696,15549.0223,4.7444,0.604
318,10,18,-0.1583,7534.7019,15548.9556,4.737,0.5995
319,10,19,-0.137,7534.9582,15548.2816,4.7491,0.5985
320,10,20,-0.1605,7538.6228,15548.6636,4.7475,0.6111
321,10,21,-0.174,7536.8428,15548.8463,4.7408,0.6108
322,10,22,-0.1458,7535.9959,15549.3501,4.7332,0.5957
323,10,23,-0.1818,7537.9628,15548.5474,4.7473,0.61
324,10,24,-0.1899,7535.0955,15548.4611,4.8448,0.622
325,10,25,-0.1563,7536.3451,15549.0484,4.8276,0.6096
326,10,26,-0.1798,7537.9111,15548.5425,4.8241,0.6205
327,10,27,-0.1888,7535.1451,15547.8414,4.8255,0.6132
328,10,28,-0.1565,7537.2241,15548.9247,4.8386,0.6212
329,10,29,-0.1791,7533.6355,15548.6741,4.8414,0.6176
330,11,0,-0.1926,7464.7118,15397.3634,4.9003,0.6292
331,11,1,-0.2035,7465.7473,15397.6627,4.8825,0.6215
332,11,2,-0.1788,7464.253,15398.5978,4.8527,0.6137
333,11,3,-0.1487,7464.841,15397.5811,4.8663,0.6334
334,11,4,-0.2051,7464.1188,15395.7473,4.9004,0.6286
335,11,5,-0.1693,7465.5423,15397.5812,4.9112,0.6122
336,11,6,-0.1827,7464.6214,15398.0488,4.8606,0.6172
337,11,7,-0.1771,7467.4836,15396.521,4.8706,0.6188
338,11,8,-0.1951,7465.2301,15398.4205,4.8795,0.6208
339,11,9,-0.1852,7467.8181,15398.5295,4.8976,0.6221
340,11,10,-0.1855,7467.172,15397.3954,4.8807,0.6227
341,11,11,-0.1572,7466.8807,15397.0069,4.8602,0.6289
342,11,12,-0.1812,7463.9096,15396.911,4.8733,0.6275
343,11,13,-0.2069,7462.7125,15398.2127,4.8753,0.6168
344,11,14,-0.1611,7466.5972,15398.2815,4.8719,0.6202
345,11,15,-0.1452,7468.2598,15396.6338,4.9099,0.6204
346,11,16,-0.2067,7466.2992,15398.0345,4.8528,0.6281
347,11,17,-0.1485,7465.7522,15397.335,4.8801,0.6301
348,11,18,-0.1587,7463.795,15397.6582,4.8964,0.6336
349,11,19,-0.1374,7463.9985,15397.2262,4.8518,0.6267
350,11,20,-0.1608,7467.6755,15398.2174,4.8651,0.6343
351,11,21,-0.1742,7465.9208,15397.2593,4.8859,0.6308
352,11,22,-0.1462,7465.0822,15397.5048,4.8723,0.6268
353,11,23,-0.1815,7467.0226,15396.8538,4.8567,0.6202
354,11,24,-0.1907,7464.1531,15398.7515,4.8731,0.6314
355,11,25,-0.1565,7465.418,15397.1924,4.8983,0.6205
356,11,26,-0.1794,7467.0081,15397.2126,4.8786,0.6248
357,11,27,-0.1882,7464.2441,15397.0693,4.829,0.6275
358,11,28,-0.1571,7466.2903,15395.6876,4.8968,0.617
359,11,29,-0.179,7462.732,15397.6927,4.8948,0.6291
360,12,0,-0.1866,7327.0638,15126.9781,4.8874,0.6271
361,12,1,-0.2026,7328.1356,15125.8826,4.8818,0.6283
